CombinedId,County,CountyName,Year,KCAL,TOTCHOL,NONHDL,dBMI,WHTFLOUR,EGGS,FISH,FRUIT,GREENVEG,LEGUME,LIGHTVEG,MEAT,MILK,OTHCEREAL,RICE,SALTVEG,STCHSUGAR,STCHTUBER,ALL0-4,ALL5-14,ALL15-34,ALL0-34,ALL35-69,ALL70-79,MEDICALb,MEDICALc,NONMEDb,NONMEDc,INFECTb,INFECTc,INTESTINb,INTESTINc,PULMTBb,PULMTBc,OTHERTBb,OTHERTBc,VIRALHEPb,VIRALHEPc,SCHISTOc,ALLCAb,ALLCAc,MOUTHCAc,NASOPCAc,NPConlyc,OESOPHCAc,STOMCAc,COLRECCAc,LIVERCAb,LIVERCAc,PANCRSCAc,BLADDCAc,LARYNXCAc,LUNGCAmc,LUNGCAfc,BREASTCAc,CERVIXCAc,BRAINCAc,LYMPHOMAc,LEUKEMIAb,LEUKEMIAc,ENDOCRINb,ENDOCRINc,DIABETESc,MALNUTRIb,MALNUTRIc,BLOODb,BLOODc,MENTALb,MENTALc,NERVOUSb,NERVOUSc,MENINGITb,MENINGITc,EPILEPSYb,EPILEPSYc,ALLVASCb,ALLVASCc,RHEUMHDb,RHEUMHDc,HYPTENSc,IHDc,IHeartDisease,STROKEb,STROKEc,VASC-STRb,VASC-STRc,ALLRESPb,ALLRESPc,PNEUMONb,PNEUMONc,COPDc,DIGESTIVb,DIGESTIVc,PEPULCERc,ENTCOLc,INTESTOBc,CIRRHOSb,CIRRHOSc,TOTLIVRb,TOTLIVRc,GALLBILc,GENITURc,GENITURmc,GENITURfc,RENALc,PREGBRTHb,PREGBRTHc,ALLSKINc,MUSCSKELc,ILL-DEFb,ILL-DEFc,ACCIDENTb,ACCIDENTc,ROADACCb,ROADACCc,DROWNb,DROWNc,SUICIDEb,SUICIDEc,HOMICIDEb,HOMICIDEc,INFANT,MATERNAL,ALLCUMa,MEDICALa,NONMEDa,RESPINFa,ALLGIa,CONGENITa,NTDa,CONGENHDa,PERINATa,LOWBTHWTa,BTHTRAUMa,RDSa,NEOTETANa,MALNUTRIa,DROWNa
IAT31983,IA,Shuyang,1983,3046,116,69.3,21.4,201.4,1.4,4.7,0,1.5,13.3,452,17.6,0,34.4,328.3,2.9,5.5,540.7,9.3,117.88,112.28,230.66,12.36,65.27,168.67,11.89,61.99,47.13,86.03,204.81,0,0,7.34,93.7,2.16,10.81,0,0,0.58,11.39,3.71,0,5.63,0,155.84,72.74,14.39,2.17,49.01,0,2.44,0,0,0,9.9,36.06,2.83,6.03,3.1,4.2,4.21,9.68,7.78,0,0,2.23,5.06,0,0,0,0,0,0,0,0,13.3,1.18,4.21,26.73,18.89,9.35,9.35,1.42,57.32,11.9,59.79,26.71,265.72,23.1,34.38,190.68,16.96,163.75,54.23,0,13.44,0,0,0,0,0,0,0,0,36.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.34,0,46.48,33.43,13.06,0,0,0,0,0,9.78,0,0,0,4.46,0,0
IBT31983,IB,Huaian,1983,3009,123,79.6,21.3,25.4,0.8,2.9,0,167.6,6,255.4,20.3,0,0,611.5,31.1,1,250.5,17.09,184.27,132.02,372.19,18.26,86.78,277.09,17.78,95.11,47.34,155.84,221.63,0,0,11.58,134.35,6.66,11.06,0,0,0.99,14.68,6.97,0,7.91,0,369.94,144.09,15.73,3,74.47,0,2.06,0,0,0,10.13,26.44,3.71,8.65,3.64,5.83,8.77,9.87,6.24,0,0,3.76,5.99,0,0,0,0,0,0,0,0,12.57,2.21,5.49,34.93,39.27,12.08,12.08,0.6,124.08,11.97,97.06,45.33,365.34,39.94,24.34,287.46,30.9,211.1,69.91,0,4.8,0,0,0,0,0,0,0,0,29.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.11,0,85.44,64.74,20.7,0,0,0,0,0,20.23,0,0,0,10.89,0,0
ICT31983,IC,Yangzhong,1983,2960,154,101.4,20.1,65.5,5.1,6.6,0.3,258.1,54.8,62.6,45.7,0,1,429.8,34.2,6.6,351.7,9.77,144.94,120.01,249.44,17.09,84.52,130.37,16.46,119.08,62.59,64.47,186.93,0,0,9.43,119.99,3.3,6.05,0,0,34.24,11.97,8.82,0,5.91,0,356.88,276.64,33.73,0.97,116.98,0,10.31,0,0,0,11.37,28.81,4.29,6.04,3.18,3.71,0.14,1.72,1.72,0,0,2.12,5.54,0,0,0,0,0,0,0,0,8.1,2.26,1.84,14.76,28.05,5.47,5.47,0,152.75,8.1,73.51,16.8,170.09,14.71,5.82,143.6,9.54,110.36,47.73,0,4.13,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.58,0,48.81,25.27,23.54,0,0,0,0,0,10.29,0,0,0,5.03,0,0
IDT31983,ID,Jianhu,1983,3167,141,97.9,21.1,25.6,0.4,0.8,0,341.5,5.1,86.3,8.1,0,0,785.6,19.7,0,4,18,200.12,126.28,386.49,14.87,75.39,254.47,14.49,132.01,37.33,140.18,158.95,0,0,10.68,98.27,3.96,8.79,0,0,1.89,11.66,6.44,0,5.28,0,270.35,194.43,19.79,1.06,65.55,0,2.56,0,0,0,9.26,27.58,3.41,7.47,3.84,7.63,7.91,5.51,4.29,0,0,2.48,10.05,0,0,0,0,0,0,0,0,14.26,2.24,5.16,40.84,25.44,17.07,17.07,0.82,121.52,13.44,102.53,49.23,245.16,45.64,18,206.13,17.91,122.15,35.27,0,6.92,0,0,0,0,0,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,90,61.09,28.92,0,0,0,0,0,20.4,0,0,0,8.39,0,0
IET31983,IE,Qidong,1983,3209,118,74.9,21,12.6,0.5,8.3,0,323.4,48.5,213.4,7.4,0,384.7,227.9,35.8,5.3,269,9.54,86.63,104.68,220.88,9.23,47.84,159.99,8.96,60.9,27.53,65.4,98.6,0,0,6.59,77.5,2.04,7.57,0,0,0,23.56,3.79,0,5.81,0,24.98,86.24,12.77,15.07,150.56,0,1.66,0,0,0,15.22,12.61,3.79,2.86,2.08,4.4,4.77,6.42,4.87,0,0,2.14,5,0,0,0,0,0,0,0,0,7.58,1.35,0.52,9.13,25.77,17.59,17.59,0.63,68.83,6.95,66.5,35.48,151.52,29.84,6.38,131.16,11.59,91.25,15.67,0,5.25,0,0,0,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.38,0,47.71,34.86,12.86,0,0,0,0,0,12.21,0,0,0,4.62,0,0
IFT31983,IF,Haimen,1983,2249,117,72.8,21.1,83.3,2.9,8.7,0,131.3,12.7,470.3,7.1,0,86.7,250.6,35.4,4.2,99.2,13.74,134.06,97.12,289.99,10.6,55.71,213.98,10.31,76.01,28.45,78.03,117.4,0,0,5.92,84.75,1.54,4.2,0,0,0.29,15.81,4.06,0,4.31,0,43.26,95.69,14.63,5.01,138.05,0,3.35,0,0,0,11.78,26.22,4.95,4.83,4,5.74,9.46,6.02,4.12,0,0,2.04,5.18,0,0,0,0,0,0,0,0,12.63,1.53,0,9.15,11.38,6.44,6.44,1.65,98.47,10.99,54.05,23.33,195.51,20.03,6.21,151.75,9.92,92.48,8.9,0,3.28,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.12,0,68.67,53.67,15,0,0,0,0,0,25.61,0,0,0,9.05,0,0
IGT31983,IG,Taixing,1983,2965,153,106,20.1,99.6,0.7,14.7,0,269.7,8.4,72.9,8.2,0,65.5,176.6,15.8,0.6,1077,15.74,150.29,134.77,344.83,14.67,76.28,264.77,14.19,80.06,47.87,159.77,169.66,0,0,6.92,82.76,4,8.78,0,0,12.66,15.69,5.44,0,3.66,0,225.66,114.16,16.93,5.69,110.36,0,1.98,0,0,0,9.46,40.7,2.13,3.44,3.13,4.58,3.42,3.04,1.28,0,0,1.91,4.54,0,0,0,0,0,0,0,0,11.4,1.7,2.81,27.87,34.98,7.19,7.19,0.7,79.27,10.71,90.3,45.48,291.19,38.8,17.49,199.38,25.09,181.81,49.66,0,9.66,0,0,0,0,0,0,0,0,22.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.37,0,78.7,62.51,16.2,0,0,0,0,0,24.06,0,0,0,18.28,0,0
JAT31983,JA,Zongyang,1983,2545,128,81.6,20.6,70,0.6,25.3,0,143.6,2.5,74.1,11,0,0,397.9,99.9,6.1,483.7,16.19,224.46,154.69,383.74,14.21,72.32,278.79,13.41,104.95,80.61,157.91,260.02,0,0,13.23,187.39,2.58,7.41,0,0,24.39,11.55,4.7,0,6.29,0,196.02,133.31,20.52,1.98,49.69,0,1.69,0,0,0,11.06,20.93,6.75,4.66,3.46,3.42,6.88,8.63,7.37,0,0,2.42,3.23,0,0,0,0,0,0,0,0,7.44,1.95,2.88,26.01,32.55,17.45,17.45,0.39,106.62,7.05,88.32,48.24,254.65,44.52,10.67,220.58,33.23,99.24,37.18,0,7.34,0,0,0,0,0,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,80.92,62.22,18.71,0,0,0,0,0,17.16,0,0,0,7.34,0,0
JBT31983,JB,Qianshan,1983,2546,124,78.4,21.1,7.3,2.1,6.9,0.5,148,1.1,132,25.9,0,0,535.9,114.9,3,221,33.31,214.88,223.28,664.82,17.95,82.35,535.49,16.91,129.33,103.88,343.55,310.21,0,0,15.41,205.21,7.99,8.21,0,0,7.66,13.89,3.6,0,8.91,0,93.05,96.6,27.49,1.79,41.08,0,6.18,0,0,0,12.7,41.2,3.87,4.27,3.09,3,20.39,9.18,5.05,0,0,0.84,2.81,0,0,0,0,0,0,0,0,16.18,2.88,4.5,41.98,37.16,19.16,19.16,1.97,178.54,14.21,109.28,87.76,525.84,80.73,27.07,465.66,41.59,135.46,47.8,0,16.02,0,0,0,0,0,0,0,0,52.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.15,0,166.55,141.55,24.99,0,0,0,0,0,64.88,0,0,0,45.43,0,0
KBT31983,KB,Daishan,1983,2987,137,86.1,20.9,6.9,5.1,111,0,186.2,19.9,31.4,16.2,0,0.9,341.8,12.7,4.1,894.4,8.34,69.85,114.98,204.71,14.71,74.72,137.89,13.96,66.82,75.34,35.2,128.03,0,0,2.38,80.08,0.88,3.12,0,0,0,18.2,5.64,0,7.37,0,61.99,216.7,18.64,2.07,141.94,0,0.55,0,0,0,9.11,47.7,2.18,8.24,3.17,6.53,1.97,16.77,15,0,0,0,1.17,0,0,0,0,0,0,0,0,7.38,1.91,0.86,2.49,27.58,20.85,20.85,1.11,132.22,6.27,58.96,19.3,299.67,17.11,22.99,261.08,11.75,129.43,20.41,0,7.74,0,0,0,0,0,0,0,0,41.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29,0,41.67,31.24,10.43,0,0,0,0,0,15.74,0,0,0,1.61,0,0
